NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,578.1,564.8,584.4,63.9,Inglês,1.0,120.0,40.0,40.0,140.0,40.0,380.0,Sim
"1,90E+11",Campinas,16,F,0,branca,1,3,não_respondeu,,,1,1,1,1,487.2,41.1,476.8,448.7,Inglês,1.0,140.0,120.0,120.0,120.0,80.0,580.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,616.4,59.1,567.5,701.1,Inglês,1.0,120.0,180.0,120.0,160.0,160.0,740.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,443.6,501.3,54.6,629.3,Inglês,1.0,120.0,60.0,60.0,120.0,0.0,360.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,508.7,582.4,575.2,564.5,Inglês,1.0,100.0,100.0,100.0,100.0,80.0,480.0,Sim
"1,90E+11",Campinas,18,M,0,branca,1,3,não_respondeu,,,1,1,1,1,569.1,580.2,575.6,707.7,Inglês,1.0,120.0,120.0,140.0,120.0,100.0,600.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,581.4,563.6,591.2,686.9,Inglês,1.0,160.0,120.0,140.0,140.0,180.0,740.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,453.6,575.1,532.9,547.5,Inglês,1.0,120.0,120.0,120.0,120.0,140.0,620.0,Sim
"1,90E+11",Campinas,16,F,0,branca,1,3,não_respondeu,,,1,1,1,1,619.8,572.9,615.8,671.7,Inglês,1.0,180.0,180.0,180.0,200.0,160.0,900.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,58.0,470.6,529.2,570.8,Espanhol,1.0,120.0,120.0,120.0,120.0,140.0,620.0,Sim
"1,90E+11",Campinas,17,M,1,parda,1,3,não_respondeu,,,1,1,1,1,557.5,574.5,560.5,602.4,Inglês,1.0,140.0,40.0,140.0,140.0,180.0,640.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,589.2,641.4,587.7,710.3,Inglês,1.0,140.0,120.0,160.0,120.0,140.0,680.0,Sim
"1,90E+11",Campinas,18,M,1,branca,1,3,não_respondeu,,,1,1,1,1,420.7,578.1,529.6,686.7,Inglês,1.0,100.0,120.0,120.0,120.0,140.0,600.0,Sim
"1,90E+11",Campinas,16,M,1,parda,1,3,não_respondeu,,,1,1,1,1,566.4,605.3,602.2,534.2,Inglês,1.0,140.0,140.0,160.0,140.0,120.0,700.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,442.7,476.7,502.7,369.1,Inglês,1.0,120.0,120.0,120.0,120.0,80.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,458.8,455.2,564.7,590.8,Espanhol,1.0,120.0,120.0,120.0,120.0,140.0,620.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,577.8,546.5,600.3,678.9,Inglês,1.0,160.0,120.0,120.0,160.0,160.0,720.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,579.1,651.1,613.8,606.3,Inglês,1.0,160.0,140.0,180.0,200.0,200.0,880.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,560.9,559.6,576.8,71.4,Inglês,1.0,160.0,120.0,140.0,160.0,180.0,760.0,Sim
"1,90E+11",Campinas,17,F,1,parda,1,3,não_respondeu,,,1,1,1,1,598.5,63.3,623.9,653.6,Inglês,1.0,160.0,100.0,120.0,140.0,100.0,620.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,572.7,52.7,541.5,490.9,Inglês,1.0,120.0,120.0,80.0,120.0,80.0,520.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,486.8,551.3,552.2,484.8,Inglês,1.0,120.0,120.0,120.0,100.0,100.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,53.5,516.3,514.1,589.3,Inglês,1.0,160.0,120.0,120.0,140.0,140.0,680.0,Sim
"1,90E+11",Campinas,16,M,1,parda,1,3,não_respondeu,,,1,1,1,1,516.5,534.2,537.2,476.7,Inglês,1.0,120.0,100.0,120.0,80.0,120.0,540.0,Sim
"1,90E+11",Campinas,15,M,1,branca,1,3,não_respondeu,,,1,1,1,1,622.3,648.3,610.2,726.8,Inglês,1.0,160.0,120.0,180.0,200.0,120.0,780.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,583.1,615.9,549.9,631.9,Inglês,1.0,180.0,200.0,180.0,180.0,180.0,920.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,427.6,439.2,485.8,465.4,Inglês,1.0,120.0,120.0,80.0,80.0,0.0,400.0,Sim
"1,90E+11",Campinas,16,F,1,parda,1,3,não_respondeu,,,1,1,1,1,494.8,417.6,568.5,514.2,Inglês,1.0,140.0,120.0,120.0,160.0,160.0,700.0,Sim
