NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,57.6,578.6,639.4,548.1,Inglês,1.0,160.0,200.0,160.0,160.0,200.0,880.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,620.2,69.4,708.2,848.9,Inglês,1.0,160.0,200.0,200.0,200.0,200.0,960.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,571.6,541.2,589.3,64.5,Inglês,1.0,160.0,120.0,140.0,160.0,160.0,740.0,Sim
"1,90E+11",Campinas,17,M,1,parda,1,3,não_respondeu,,,1,1,1,1,582.9,557.7,568.7,638.5,Inglês,1.0,120.0,180.0,160.0,160.0,140.0,760.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,607.7,656.6,589.6,680.4,Inglês,1.0,140.0,140.0,160.0,140.0,180.0,760.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,628.2,584.4,585.3,669.2,Inglês,1.0,120.0,120.0,120.0,100.0,100.0,560.0,Sim
"1,90E+11",Campinas,17,M,1,amarela,1,3,não_respondeu,,,1,1,1,1,586.7,623.7,60.3,673.2,Inglês,1.0,160.0,120.0,120.0,120.0,160.0,680.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,390.8,346.7,466.1,476.7,Inglês,1.0,80.0,80.0,60.0,100.0,0.0,320.0,Sim
"1,90E+11",Campinas,16,F,1,preta,1,3,não_respondeu,,,1,1,1,1,537.4,571.2,559.3,651.8,Inglês,1.0,140.0,120.0,120.0,140.0,160.0,680.0,Sim
"1,90E+11",Campinas,18,M,1,parda,1,3,não_respondeu,,,1,1,1,1,424.4,504.8,462.7,607.9,Inglês,1.0,120.0,120.0,120.0,100.0,0.0,460.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,453.1,457.1,486.9,527.8,Inglês,1.0,100.0,140.0,140.0,100.0,120.0,600.0,Sim
"1,90E+11",Campinas,16,M,1,parda,1,3,não_respondeu,,,1,1,1,1,581.8,585.8,558.2,596.3,Espanhol,1.0,160.0,140.0,160.0,120.0,180.0,760.0,Sim
"1,90E+11",Campinas,16,F,1,preta,1,3,não_respondeu,,,1,1,1,1,436.5,465.8,530.5,452.7,Inglês,1.0,120.0,120.0,140.0,120.0,140.0,640.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,515.9,505.7,477.8,556.7,Inglês,1.0,120.0,120.0,160.0,120.0,200.0,720.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,591.6,483.1,529.5,60.7,Inglês,1.0,160.0,180.0,160.0,160.0,200.0,860.0,Sim
"1,90E+11",Campinas,17,F,1,preta,1,3,não_respondeu,,,1,1,1,1,381.5,467.9,46.5,463.6,Inglês,1.0,120.0,120.0,100.0,120.0,40.0,500.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,483.4,457.1,436.5,400.7,Espanhol,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,526.9,556.3,544.6,51.4,Inglês,1.0,120.0,120.0,100.0,100.0,60.0,500.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,583.8,584.3,601.7,596.6,Espanhol,1.0,120.0,120.0,120.0,140.0,80.0,580.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,566.3,546.5,52.4,591.6,Inglês,1.0,120.0,120.0,120.0,140.0,100.0,600.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,586.6,533.6,492.2,699.9,Espanhol,1.0,120.0,120.0,140.0,180.0,120.0,680.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,605.7,611.7,611.8,732.6,Inglês,1.0,120.0,120.0,140.0,140.0,140.0,660.0,Sim
"1,90E+11",Campinas,16,M,1,parda,1,3,não_respondeu,,,1,1,1,1,468.4,548.1,560.2,511.4,Inglês,1.0,120.0,120.0,120.0,120.0,80.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,607.3,620.3,583.9,746.4,Inglês,1.0,160.0,180.0,160.0,160.0,140.0,800.0,Sim
"1,90E+11",Campinas,16,F,1,branca,2,3,não_respondeu,,,1,1,1,1,434.4,403.4,505.1,476.7,Inglês,1.0,120.0,120.0,120.0,120.0,100.0,580.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,399.7,435.3,49.9,518.3,Espanhol,1.0,160.0,120.0,140.0,140.0,120.0,680.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,573.1,60.2,57.4,711.1,Inglês,1.0,160.0,160.0,160.0,160.0,160.0,800.0,Sim
"1,90E+11",Campinas,17,M,1,nao_declarado,1,3,não_respondeu,,,1,1,1,1,579.7,523.5,567.7,614.8,Inglês,1.0,120.0,160.0,120.0,120.0,160.0,680.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,536.8,602.7,601.9,695.9,Inglês,1.0,140.0,140.0,140.0,160.0,140.0,720.0,Sim
"1,90E+11",Campinas,19,F,1,branca,1,3,não_respondeu,,,1,1,1,1,568.1,563.7,577.1,61.0,Inglês,1.0,120.0,140.0,120.0,120.0,140.0,640.0,Sim
