NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,571.2,595.8,605.5,745.3,Inglês,1.0,160.0,200.0,180.0,200.0,140.0,880.0,Sim
"1,90E+11",Campinas,18,M,2,parda,1,3,não_respondeu,,,1,1,1,1,631.7,593.7,548.7,601.1,Inglês,1.0,120.0,140.0,120.0,100.0,80.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,35.0,460.7,544.6,451.5,Inglês,1.0,120.0,140.0,120.0,120.0,80.0,580.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,615.9,686.1,598.5,734.6,Inglês,1.0,160.0,140.0,120.0,140.0,140.0,700.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,495.4,540.4,56.9,541.6,Inglês,1.0,120.0,120.0,120.0,100.0,140.0,600.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,561.1,615.4,610.4,59.7,Inglês,1.0,100.0,120.0,120.0,100.0,140.0,580.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,576.2,603.1,59.0,744.9,Inglês,1.0,160.0,120.0,140.0,160.0,60.0,640.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,565.5,620.6,592.9,753.2,Inglês,1.0,160.0,200.0,180.0,200.0,160.0,900.0,Sim
"1,90E+11",Campinas,16,F,1,parda,1,3,não_respondeu,,,1,1,1,1,458.1,377.7,439.8,434.1,Espanhol,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Sim
"1,90E+11",Campinas,16,F,1,parda,1,3,não_respondeu,,,1,1,1,1,585.2,614.5,607.3,564.7,Inglês,1.0,160.0,140.0,140.0,120.0,180.0,740.0,Sim
"1,90E+11",Campinas,17,M,1,nao_declarado,1,3,não_respondeu,,,1,1,1,1,656.9,700.7,653.9,810.9,Inglês,1.0,160.0,180.0,180.0,200.0,200.0,920.0,Sim
"1,90E+11",Campinas,16,M,1,parda,1,3,não_respondeu,,,1,1,1,1,623.1,574.8,640.9,739.9,Inglês,1.0,140.0,120.0,140.0,180.0,160.0,740.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,555.3,525.6,56.9,567.6,Inglês,1.0,140.0,120.0,140.0,120.0,160.0,680.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,516.8,394.8,573.4,580.3,Espanhol,1.0,160.0,120.0,160.0,200.0,200.0,840.0,Sim
"1,90E+11",Campinas,16,M,1,parda,1,3,não_respondeu,,,1,1,1,1,607.5,592.1,569.3,737.6,Inglês,1.0,120.0,120.0,80.0,140.0,120.0,580.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,551.2,591.9,543.4,57.5,Inglês,1.0,120.0,120.0,120.0,140.0,100.0,600.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,578.7,629.5,605.4,886.1,Inglês,1.0,120.0,120.0,120.0,140.0,120.0,620.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,507.7,523.8,556.3,549.5,Inglês,1.0,120.0,120.0,100.0,120.0,100.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,48.9,548.1,520.8,626.8,Inglês,1.0,120.0,120.0,120.0,80.0,100.0,540.0,Sim
"1,90E+11",Campinas,16,M,1,nao_declarado,1,3,não_respondeu,,,1,1,1,1,618.6,625.8,627.1,805.3,Inglês,1.0,100.0,120.0,120.0,120.0,120.0,580.0,Sim
