NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,58.3,594.4,580.9,71.1,Inglês,1.0,160.0,120.0,140.0,160.0,180.0,760.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,576.7,593.9,612.2,672.9,Inglês,1.0,160.0,180.0,180.0,180.0,200.0,900.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,564.4,582.4,592.1,529.3,Espanhol,1.0,140.0,120.0,140.0,140.0,140.0,680.0,Sim
"1,90E+11",Campinas,15,M,1,parda,1,3,não_respondeu,,,1,1,1,1,575.1,589.7,565.2,644.2,Inglês,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Sim
"1,90E+11",Campinas,18,M,1,branca,1,3,não_respondeu,,,1,1,1,1,549.2,55.8,534.1,563.6,Inglês,1.0,140.0,120.0,140.0,180.0,160.0,740.0,Sim
"1,90E+11",Campinas,16,F,1,branca,2,3,não_respondeu,,,1,1,1,1,527.2,509.7,539.7,54.0,Espanhol,1.0,120.0,120.0,120.0,140.0,100.0,600.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,533.6,60.3,622.1,761.9,Inglês,1.0,160.0,140.0,180.0,180.0,200.0,860.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,518.5,605.9,529.8,698.8,Inglês,1.0,120.0,100.0,100.0,120.0,120.0,560.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,583.2,596.6,58.7,740.8,Inglês,1.0,120.0,120.0,120.0,120.0,80.0,560.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,592.8,598.8,625.9,701.3,Inglês,1.0,160.0,160.0,180.0,200.0,180.0,880.0,Sim
"1,90E+11",Campinas,17,F,1,parda,1,3,não_respondeu,,,1,1,1,1,561.7,464.9,644.6,516.4,Inglês,1.0,140.0,120.0,120.0,120.0,120.0,620.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,579.9,601.9,586.9,692.2,Inglês,1.0,160.0,200.0,200.0,180.0,180.0,920.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,565.9,593.7,598.9,809.6,Inglês,1.0,140.0,120.0,120.0,100.0,100.0,580.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,551.2,591.9,543.4,57.5,Inglês,1.0,120.0,120.0,120.0,140.0,100.0,600.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,638.2,646.8,650.1,830.3,Inglês,1.0,160.0,120.0,160.0,180.0,180.0,800.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,388.9,360.5,488.3,422.5,Inglês,1.0,120.0,120.0,100.0,120.0,100.0,560.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,412.3,410.8,557.8,405.9,Inglês,1.0,140.0,180.0,160.0,160.0,140.0,780.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,564.3,539.9,554.3,794.9,Inglês,1.0,160.0,120.0,120.0,140.0,120.0,660.0,Sim
